favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
66340,Twitter for iPhone,"“When the law enforcers turn out to be the law breakers, then we have totally upended the rule of law. Nobody is sa… https://t.co/tHJhCx6lQv",,False,Mon Dec 02 14:18:55 +0000 2019,20094,1201506031228084227
55908,Twitter for iPhone,"....in America, community by community where we will eradicate AIDS in 10 years, program already started. American… https://t.co/LIRb5EfGWb",realDonaldTrump,False,Sun Dec 01 18:31:40 +0000 2019,11701,1201207251035467776
75182,Twitter for iPhone,Brazil and Argentina have been presiding over a massive devaluation of their currencies. which is not good for our… https://t.co/FpoeCsTlMQ,,False,Mon Dec 02 10:59:33 +0000 2019,19863,1201455858636472320
57271,Twitter for iPhone,"“Sen. Tim Scott Says Trump 'Innocent,' 'No Way' Senate Convicts” https://t.co/P6ONkI8n0P",,False,Sun Dec 01 01:24:34 +0000 2019,15800,1200948772253118465
95986,Twitter for iPhone,"On World AIDS Day, The First Lady and I express our support for those living with HIV/AIDS and mourn the lives lost… https://t.co/0wE8w4uHJD",,False,Sun Dec 01 18:31:40 +0000 2019,19415,1201207249953263617
105224,Twitter for iPhone,"When Lisa Page, the lover of Peter Strzok, talks about being “crushed”, and how innocent she is, ask her to read Pe… https://t.co/UtXqn6GE4Q",,False,Mon Dec 02 18:07:44 +0000 2019,29394,1201563617180733440
104885,Twitter for iPhone,"Just landed in the United Kingdom, heading to London for NATO meetings tomorrow. Prior to landing I read the Republ… https://t.co/Y0em0Ks1CQ",,False,Mon Dec 02 22:30:42 +0000 2019,23324,1201629794535923712
30328,Twitter for iPhone,https://t.co/zlfV4MOkom,,False,Mon Dec 02 20:03:19 +0000 2019,9626,1201592702028132358
56469,Twitter for iPhone,"In the 3 decades before my election, NATO spending declined by two-thirds, and only 3 other NATO members were meeti… https://t.co/Jp7WB8B4HJ",,False,Mon Dec 02 18:17:15 +0000 2019,15117,1201566010521858048
70047,Twitter for iPhone,"The Fed should lower rates (there is almost no inflation) and loosen, making us competitive with other nations, and… https://t.co/lujdrxG3bv",,False,Mon Dec 02 22:21:21 +0000 2019,17110,1201627440470212610
56050,Twitter for iPhone,Thank you to President Zelensky. Case over. The Do Nothing Democrats should finally go back to work! https://t.co/XrJSUsm9Wq,,False,Mon Dec 02 19:27:21 +0000 2019,16571,1201583651252834304
121239,Twitter for iPhone,Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with r… https://t.co/aTgsNTphK6,,False,Mon Dec 02 13:53:16 +0000 2019,32179,1201499577645449216
59207,Twitter for iPhone,U.S. Markets are up as much as 21% since the announcement of Tariffs on 3/1/2018 - and the U.S. is taking in massiv… https://t.co/JxjXnw8gll,,False,Mon Dec 02 11:11:04 +0000 2019,13843,1201458758934781953
44322,Twitter for iPhone,"“The Democrats don’t have any evidence, but they are still going to do it anyway. That’s the sham that’s going on h… https://t.co/SCgeO0pu5o",,False,Mon Dec 02 14:00:29 +0000 2019,11387,1201501394680864770
59775,Twitter for iPhone,"Great writer and historian, Doug Wead, has written a true (not Fake News) account of what is going on in Washington… https://t.co/9IJCPlhrxK",,False,Mon Dec 02 07:21:57 +0000 2019,14430,1201401098571001857
85255,Twitter for iPhone,“Schiff’s impeachment hearings wasting time when Congress must do real work” https://t.co/4lb9bWrVRL,,False,Sun Dec 01 01:28:18 +0000 2019,22036,1200949712087638017
45840,Twitter for iPhone,“It is clear that there is none of the bipartisan support that Speaker Pelosi said for months was essential for Imp… https://t.co/Ae0wynG7k1,,False,Mon Dec 02 10:55:24 +0000 2019,11175,1201454816033198080
68201,Twitter for iPhone,Thank you to Great Republican @SenJohnKennedy for the job he did in representing both the Republican Party and myse… https://t.co/AkbWMNFmUD,,False,Mon Dec 02 16:47:47 +0000 2019,16270,1201543495539806208
54829,Twitter for iPhone,"Manufacturers are being held back by the strong Dollar, which is being propped up by the ridiculous policies of the… https://t.co/eoLE1xLQZe",,False,Mon Dec 02 21:19:46 +0000 2019,14574,1201611943515017216
46191,Twitter for iPhone,"“The American people are going to see this for what it is. It is a political effort by the Democrats, and the Presi… https://t.co/7DFf3J8rEv",,False,Mon Dec 02 12:20:30 +0000 2019,12372,1201476231759302656
79338,Twitter for iPhone,Heading to Europe to represent our Country and fight hard for the American People while the Do Nothing Democrats pu… https://t.co/GekUgvW7sj,,False,Mon Dec 02 16:02:48 +0000 2019,19705,1201532174190571520
75242,Twitter for iPhone,"The Do Nothing Democrats get 3 Constitutional lawyers for their Impeachment hoax (they will need them!), the Republ… https://t.co/6Xh3iq7bSk",,False,Mon Dec 02 14:22:53 +0000 2019,18109,1201507027891212288
114009,Twitter for iPhone,"Not only did I see it @Doks_Art, I think it is fantastic. You are a wonderful artist, never give up your dream! https://t.co/LVVCUJz5CW",,False,Mon Dec 02 17:15:33 +0000 2019,31413,1201550483120254977
52357,Twitter for iPhone,“The United States has outperformed the rest of the world in an eye popping fashion. I don’t think we’ve seen numbe… https://t.co/4LUJ6DpgL2,,False,Mon Dec 02 12:35:36 +0000 2019,13361,1201480029265367040
51086,Twitter for iPhone,"“Trump did nothing impeachable, day-by-day review of all impeachment hearing testimony shows” @GreggJarrett https://t.co/QbFeEmWkTB",,False,Sun Dec 01 01:26:21 +0000 2019,14125,1200949221224001536
54298,Twitter for iPhone,“Trump Economy Breaks Holiday Shopping Records.” @FoxNews,,False,Mon Dec 02 10:35:42 +0000 2019,12727,1201449855991910400
46303,Twitter for iPhone,".....Reserve should likewise act so that countries, of which there are many, no longer take advantage of our strong… https://t.co/HTKwE89s8a",realDonaldTrump,False,Mon Dec 02 10:59:33 +0000 2019,11613,1201455859731238912
68893,Twitter for iPhone,"“Donald Trump was framed back in 2016.” @MariaBartiromo  100% correct, Maria, and we can never let this happen to another president again!",,False,Mon Dec 02 04:24:00 +0000 2019,17561,1201356316918394881
89473,Twitter for iPhone,The Republican Party has NEVER been so united! This Impeachment Scam is just a continuation of the 3 year Witch Hun… https://t.co/W51pdKTM2g,,False,Mon Dec 02 17:56:48 +0000 2019,20040,1201560862856601600
33143,Twitter for iPhone,Thank you to Congressman Ben @Cline4Virginia for the Great remarks this morning on the illegitimate Impeachment Hoa… https://t.co/WCmMi7Q7Q2,,False,Mon Dec 02 16:43:02 +0000 2019,8422,1201542297881432064
58447,Twitter for iPhone,“The process has been unfair. Republicans can’t even get their own witnesses. It gets me that Adam Schiff is not pu… https://t.co/DnIl5o1WoD,,False,Mon Dec 02 12:07:20 +0000 2019,14780,1201472919299338240
125166,Twitter for iPhone,"Mini Mike Bloomberg has instructed his third rate news organization not to investigate him or any Democrat, but to… https://t.co/w1wsjiNu3a",,False,Mon Dec 02 23:11:01 +0000 2019,32172,1201639937268948992
42723,Twitter for iPhone,"Great job by @RepDougCollins of Georgia over the weekend in representing the Republican Party, and myself, against the Impeachment Hoax!",,False,Mon Dec 02 18:12:18 +0000 2019,10313,1201564763416907776
